File	pol
912	-62.77735758
913	-62.74810593
914	-62.72081955
915	-62.69467708
917	-62.65319624
918	-62.62527548
920	-62.5903796
921	-62.56120798
922	-62.53215647
923	-62.50534021
924	-62.47786849
925	-62.44905426
926	-62.42271314
930	-62.38958805
931	-62.36378902
932	-62.33777413
933	-62.31152949
934	-62.2850554
935	-62.25997129
936	-62.23385836
937	-62.20748791
938	-62.18150291
941	-61.90915665
942	-61.872601
977	-61.5793373
978	-61.53221417
979	-61.50366844
980	-61.47559672
981	-61.44884276
982	-61.42237248
983	-61.39686882
984	-61.37181485
985	-61.34668052
986	-61.32106902
987	-61.29490437
988	-61.26943277
989	-61.24542557
990	-61.21897321
991	-61.19217805
993	-61.16109507
994	-61.13576933
995	-61.10886485
996	-61.08223581
997	-61.05371856
998	-61.02390481
1004	-60.8737823
1006	-60.83585516
1007	-60.79617032
1043	-60.02053024
1044	-59.99499546
1045	-59.96557613
1046	-59.94152825
1047	-59.91734713
1048	-59.8936859
1049	-59.87017678
1050	-59.84526326
1051	-59.81836286
1052	-59.79258136
1053	-59.76651233
1054	-59.7416148
1055	-59.71806366
1056	-59.69501667
1057	-59.66945774
1058	-59.64306986
1059	-59.61749932
1060	-59.59170964
1067	-59.45076113
1068	-59.42688597
1069	-59.40279778
1070	-59.37892839
1072	-59.34987856
1073	-59.32409013
1074	-59.29731625
1075	-59.27237859
1076	-59.22815083
1077	-59.20066726
1078	-59.17370717
1079	-59.14638992
1080	-59.11895101
1081	-59.09137048
1082	-59.0639638
1083	-59.03833312
1084	-59.01373224
1085	-58.98823054
1086	-58.96378446
1087	-58.93098236
1089	-58.89198768
1091	-58.85854107
1092	-58.83569885
1093	-58.81269851
1094	-58.78903954
1096	-58.76056524
1097	-58.73542641
1098	-58.71041835
1099	-58.68505439
1100	-58.65983463
1101	-58.63499193
1102	-58.60969383
1103	-58.58432017
1104	-58.55938309
1106	-58.52667968
1107	-58.50073074
1108	-58.47485307
1115	-58.31905897
1116	-58.29414213
1117	-58.27110866
1118	-58.24800491
1119	-58.2244673
1120	-58.19816988
1121	-58.17233355
1122	-58.14602005
1123	-58.12273488
1125	-58.08351382
1126	-58.06314172
1127	-58.04301407
1128	-58.01754971
1131	-57.97405418
1132	-57.94757372
1133	-57.92199335
1134	-57.89609554
1135	-57.87053133
1136	-57.84421639
1137	-57.81696136
1138	-57.78910882
1139	-57.76056128
1140	-57.73016587
1141	-57.70137222
1142	-57.67172185
1143	-57.64268896
1144	-57.61751146
1145	-57.59437906
1147	-57.56182235
1148	-57.53719637
1149	-57.51216945
1150	-57.48751901
1151	-57.46344035
