# 'F' must be included if file has three columns!
F
# Contents of current scaler buffer
# Channel	Content	GatedDifference
246 733652672.0   223422.0
247 714841984.0   214909.0
248 749883008.0   226261.0
249 721090560.0   219421.0
250 808075392.0   244540.0
251 721913536.0   262812.0
252 363238016.0   107745.0
253 275722944.0    80698.0
254 825971584.0   161629.0
255 880900224.0   259631.0
256 944494016.0   219990.0
257 618763200.0   182985.0
258 658431744.0   192756.0
259 917993984.0   265448.0
260 921554560.0   263859.0
261 934651648.0   266746.0
262 797052928.0   228341.0
263 673942208.0   174580.0
264 905806720.0   125884.0
265 559023616.0   127871.0
266 947514112.0   267213.0
267 874587136.0   246652.0
268 964019840.0   268340.0
269 984507520.0   272988.0
270 913707584.0   252168.0
271 966475712.0   277094.0
272 938721152.0   262471.0
273 941567296.0   258354.0
274 1020284032.0   216066.0
275 1010211392.0   269942.0
276 1065165568.0   429840.0
277 889057728.0   236914.0
278 895622208.0   235632.0
279 626396992.0   160257.0
280 469883808.0   118126.0
281 757191680.0   193233.0
282 919236672.0   234748.0
283 721059328.0   238780.0
284 762804864.0   195727.0
285 557191616.0   138845.0
286 688808640.0    92229.0
287 875182656.0   214395.0
288 450116352.0   103898.0
289 548693696.0   131163.0
290 1139730816.0   278984.0
291 1119095808.0   272443.0
292 675441600.0   159732.0
293 859249280.0   199819.0
294 802226432.0   187918.0
295 543798528.0   124071.0
296 533467520.0   111132.0
297 388918176.0    79724.0
298 268774688.0    55016.0
299 282680352.0    58503.0
300 1199048192.0   266296.0
301 1385383168.0   306113.0
302 1443809024.0   316099.0
303 1404948608.0   167258.0
304 509360032.0   105138.0
305 414608224.0    81498.0
306 923920384.0   128898.0
307 1146088704.0   235346.0
308 1352747904.0   324548.0
309 1642267008.0   120274.0
310 1538149504.0   308412.0
311 1275441536.0   249291.0
312 1475998720.0   283284.0
313 1160524672.0   292248.0
314 1145379456.0   213470.0
315 1680250880.0   376008.0
316 1653345408.0   302681.0
317 1812358528.0   518091.0
318 1795817088.0   230319.0
319 1824680960.0   277343.0
320 1902456192.0   395017.0
321        0.0        0.0
322        0.0        0.0
323        0.0        0.0
324        0.0        0.0
325        0.0        0.0
326        0.0        0.0
327        0.0        0.0
328        0.0        0.0
329        0.0        0.0
330        0.0        0.0
331        0.0        0.0
332        0.0        0.0
333        0.0        0.0
334        0.0        0.0
335        0.0        0.0
336        0.0        0.0
337        0.0        0.0
338        0.0        0.0
339        0.0        0.0
340        0.0        0.0
341        0.0        0.0
342        0.0        0.0
343        0.0        0.0
344        0.0        0.0
345        0.0        0.0
346        0.0        0.0
347        0.0        0.0
348        0.0        0.0
349        0.0        0.0
350        0.0        0.0
351        0.0        0.0
352        0.0        0.0
